"Sample","SCORE"
"MIP.S35297.clean.bam","1"
"MIP.S35298.clean.bam","1"
"MIP.S35299.clean.bam","1"
"MIP.S35312.clean.bam","1"
"MIP.S00287.clean.bam","0"
"MIP.S00290.clean.bam","0"
"MIP.S00303.clean.bam","0"
"MIP.S00307.clean.bam","0"
"MIP.S00311.clean.bam","1"
"MIP.S00313.clean.bam","1"
"MIP.S00374.clean.bam","1"
"MIP.S00476.clean.bam","0"
"MIP.S00513.clean.bam","0"
"MIP.S00616.clean.bam","1"
"MIP.S02093.clean.bam","1"
"MIP.S02098.clean.bam","0"
"MIP.S02106.clean.bam","1"
"MIP.S02124.clean.bam","1"
"MIP.S02129.clean.bam","1"
"MIP.S02141.clean.bam","1"
"MIP.S02142.clean.bam","0"
"MIP.S02149.clean.bam","1"
"MIP.S02155.clean.bam","0"
"MIP.S02158.clean.bam","1"
"MIP.S02159.clean.bam","1"
"MIP.S02165.clean.bam","1"
"MIP.S02352.clean.bam","1"
"MIP.S02516.clean.bam","1"
"MIP.S02531.clean.bam","0"
"MIP.S02539.clean.bam","0"
"MIP.S19516.clean.bam","1"
"MIP.S19523.clean.bam","1"
"MIP.S21465.clean.bam","0"
"MIP.S21466.clean.bam","1"
"MIP.S21467.clean.bam","0"
"MIP.S21468.clean.bam","1"
"MIP.S21488.clean.bam","1"
"MIP.S21510.clean.bam","1"
"MIP.S21530.clean.bam","1"
"MIP.S21541.clean.bam","1"
"MIP.S21543.clean.bam","0"
"MIP.S21544.clean.bam","1"
"MIP.S21549.clean.bam","0"
"MIP.S21552.clean.bam","1"
"MIP.S21553.clean.bam","1"
"MIP.S21554.clean.bam","1"
"MIP.S21555.clean.bam","1"
"MIP.S21556.clean.bam","1"
"MIP.S21557.clean.bam","1"
"MIP.S21562.clean.bam","1"
"MIP.S21563.clean.bam","1"
"MIP.S21590.clean.bam","0"
"MIP.S21737.clean.bam","1"
"MIP.S22529.clean.bam","1"
"MIP.S22758.clean.bam","1"
"MIP.S02191.clean.bam","0"
"MIP.S02229.clean.bam","1"
"MIP.S21623.clean.bam","1"
"MIP.S21650.clean.bam","0"
"MIP.S21658.clean.bam","0"
"MIP.S21666.clean.bam","1"
"MIP.S21668.clean.bam","1"
"MIP.S21670.clean.bam","0"
"MIP.S21671.clean.bam","0"
"MIP.S21684.clean.bam","0"
"MIP.S21698.clean.bam","0"
"MIP.S21619.clean.bam","1"
"MIP.S14302.clean.bam","1"
"MIP.S28691.clean.bam","0"
"MIP.S28734.clean.bam","0"
"MIP.S28872.clean.bam","1"
"MIP.S28885.clean.bam","0"
"MIP.S28906.clean.bam","1"
"MIP.S28924.clean.bam","0"
"MIP.S28937.clean.bam","0"
"MIP.S28977.clean.bam","1"
"MIP.S29104.clean.bam","1"
"MIP.S30946.clean.bam","0"
"MIP.S30965.clean.bam","0"
"MIP.S31158.clean.bam","1"
"MIP.S31166.clean.bam","1"
"MIP.S32119.clean.bam","0"
"MIP.S32154.clean.bam","0"
"MIP.S32296.clean.bam","0"
"MIP.S32306.clean.bam","0"
"MIP.S32485.clean.bam","1"
"MIP.S32517.clean.bam","1"
"MIP.S32528.clean.bam","1"
"MIP.S32554.clean.bam","0"
"MIP.S32612.clean.bam","0"
"MIP.S32663.clean.bam","1"
"MIP.S32717.clean.bam","1"
"MIP.S32860.clean.bam","0"
"MIP.S32887.clean.bam","0"
